Z,Groen et al,Schmitt et al,Simulation (extended cermide),Simulation (hairpin ceramide)
-3,NaN,NaN,NaN,NaN
-2.9999,NaN,NaN,NaN,NaN
-2.9998,NaN,NaN,NaN,NaN
-2.9997,NaN,NaN,NaN,NaN
-2.9996,NaN,NaN,NaN,NaN
-2.9995,NaN,NaN,NaN,NaN
-2.9994,NaN,NaN,NaN,NaN
-2.9993,NaN,NaN,NaN,NaN
-2.9992,NaN,NaN,NaN,NaN
-2.9991,NaN,NaN,NaN,NaN
-2.999,NaN,NaN,NaN,NaN
-2.9989,NaN,NaN,NaN,NaN
-2.9988,NaN,NaN,NaN,NaN
-2.9987,NaN,NaN,NaN,NaN
-2.9986,NaN,NaN,NaN,NaN
-2.9985,NaN,NaN,NaN,NaN
-2.9984,NaN,NaN,NaN,NaN
-2.9983,NaN,NaN,NaN,NaN
-2.9982,NaN,NaN,NaN,NaN
-2.9981,NaN,NaN,NaN,NaN
-2.998,NaN,NaN,NaN,NaN
-2.9979,NaN,NaN,NaN,NaN
-2.9978,NaN,NaN,NaN,NaN
-2.9977,NaN,NaN,NaN,NaN
-2.9976,NaN,NaN,NaN,NaN
-2.9975,NaN,NaN,NaN,NaN
-2.9974,NaN,NaN,NaN,NaN
-2.9973,NaN,NaN,NaN,NaN
-2.9972,NaN,NaN,NaN,NaN
-2.9971,NaN,NaN,NaN,NaN
-2.997,NaN,NaN,NaN,NaN
-2.9969,NaN,NaN,NaN,NaN
-2.9968,NaN,NaN,NaN,NaN
-2.9967,NaN,NaN,NaN,NaN
-2.9966,NaN,NaN,NaN,NaN
-2.9965,NaN,NaN,NaN,NaN
-2.9964,NaN,NaN,NaN,NaN
-2.9963,NaN,NaN,NaN,NaN
-2.9962,NaN,NaN,NaN,NaN
-2.9961,NaN,NaN,NaN,NaN
-2.996,NaN,NaN,NaN,NaN
-2.9959,NaN,NaN,NaN,NaN
-2.9958,NaN,NaN,NaN,NaN
-2.9957,NaN,NaN,NaN,NaN
-2.9956,NaN,NaN,NaN,NaN
-2.9955,NaN,NaN,NaN,NaN
-2.9954,NaN,NaN,NaN,NaN
-2.9953,NaN,NaN,NaN,NaN
-2.9952,NaN,NaN,NaN,NaN
-2.9951,NaN,NaN,NaN,NaN
-2.995,NaN,NaN,NaN,NaN
-2.9949,NaN,NaN,NaN,NaN
-2.9948,NaN,NaN,NaN,NaN
-2.9947,NaN,NaN,NaN,NaN
-2.9946,NaN,NaN,NaN,NaN
-2.9945,NaN,NaN,NaN,NaN
-2.9944,NaN,NaN,NaN,NaN
-2.9943,NaN,NaN,NaN,NaN
-2.9942,NaN,NaN,NaN,NaN
-2.9941,NaN,NaN,NaN,NaN
-2.994,NaN,NaN,NaN,NaN
-2.9939,NaN,NaN,NaN,NaN
-2.9938,NaN,NaN,NaN,NaN
-2.9937,NaN,NaN,NaN,NaN
-2.9936,NaN,NaN,NaN,NaN
-2.9935,NaN,NaN,NaN,NaN
-2.9934,71.544,NaN,NaN,NaN
-2.9933,71.56,NaN,NaN,NaN
-2.9932,71.576,NaN,NaN,NaN
-2.9931,71.592,NaN,NaN,NaN
-2.993,71.607,NaN,NaN,NaN
-2.9929,71.623,NaN,NaN,NaN
-2.9928,71.639,NaN,NaN,NaN
-2.9927,71.655,NaN,NaN,NaN
-2.9926,71.671,NaN,NaN,NaN
-2.9925,71.687,NaN,NaN,NaN
-2.9924,71.703,NaN,NaN,NaN
-2.9923,71.719,NaN,NaN,NaN
-2.9922,71.735,NaN,NaN,NaN
-2.9921,71.75,NaN,NaN,NaN
-2.992,71.766,NaN,NaN,NaN
-2.9919,71.782,NaN,NaN,NaN
-2.9918,71.798,NaN,NaN,NaN
-2.9917,71.814,NaN,NaN,NaN
-2.9916,71.83,NaN,NaN,NaN
-2.9915,71.846,NaN,NaN,NaN
-2.9914,71.862,NaN,NaN,NaN
-2.9913,71.878,NaN,NaN,NaN
-2.9912,71.893,NaN,NaN,NaN
-2.9911,71.909,NaN,NaN,NaN
-2.991,71.925,NaN,NaN,NaN
-2.9909,71.941,NaN,NaN,NaN
-2.9908,71.957,NaN,NaN,NaN
-2.9907,71.973,NaN,NaN,NaN
-2.9906,71.989,NaN,NaN,NaN
-2.9905,72.005,NaN,NaN,NaN
-2.9904,72.021,NaN,NaN,NaN
-2.9903,72.036,NaN,NaN,NaN
-2.9902,72.052,NaN,NaN,NaN
-2.9901,72.068,NaN,NaN,NaN
-2.99,72.084,NaN,NaN,NaN
-2.9899,72.1,NaN,NaN,NaN
-2.9898,72.116,NaN,NaN,NaN
-2.9897,72.132,NaN,NaN,NaN
-2.9896,72.148,NaN,NaN,NaN
-2.9895,72.163,NaN,NaN,NaN
-2.9894,72.179,NaN,NaN,NaN
-2.9893,72.195,NaN,NaN,NaN
-2.9892,72.211,NaN,NaN,NaN
-2.9891,72.227,NaN,NaN,NaN
-2.989,72.243,NaN,NaN,NaN
-2.9889,72.259,NaN,NaN,NaN
-2.9888,72.275,NaN,NaN,NaN
-2.9887,72.291,NaN,NaN,NaN
-2.9886,72.306,NaN,NaN,NaN
-2.9885,72.322,NaN,NaN,NaN
-2.9884,72.338,NaN,NaN,NaN
-2.9883,72.354,NaN,NaN,NaN
-2.9882,72.37,NaN,NaN,NaN
-2.9881,72.386,NaN,NaN,NaN
-2.988,72.402,NaN,NaN,NaN
-2.9879,72.418,NaN,NaN,NaN
-2.9878,72.434,NaN,NaN,NaN
-2.9877,72.449,NaN,NaN,NaN
-2.9876,72.465,NaN,NaN,NaN
-2.9875,72.481,NaN,NaN,NaN
-2.9874,72.497,NaN,NaN,NaN
-2.9873,72.513,NaN,NaN,NaN
-2.9872,72.529,NaN,NaN,NaN
-2.9871,72.545,NaN,NaN,NaN
-2.987,72.561,NaN,NaN,NaN
-2.9869,72.576,NaN,NaN,NaN
-2.9868,72.592,NaN,NaN,NaN
-2.9867,72.608,NaN,NaN,NaN
-2.9866,72.624,NaN,NaN,NaN
-2.9865,72.64,NaN,NaN,NaN
-2.9864,72.656,NaN,NaN,NaN
-2.9863,72.672,NaN,NaN,NaN
-2.9862,72.688,NaN,NaN,NaN
-2.9861,72.704,NaN,NaN,NaN
-2.986,72.719,NaN,NaN,NaN
-2.9859,72.735,NaN,NaN,NaN
-2.9858,72.751,NaN,NaN,NaN
-2.9857,72.767,NaN,NaN,NaN
-2.9856,72.783,NaN,NaN,NaN
-2.9855,72.799,NaN,NaN,NaN
-2.9854,72.815,NaN,NaN,NaN
-2.9853,72.831,NaN,NaN,NaN
-2.9852,72.847,NaN,NaN,NaN
-2.9851,72.862,NaN,NaN,NaN
-2.985,72.878,NaN,NaN,NaN
-2.9849,72.894,NaN,NaN,NaN
-2.9848,72.91,NaN,NaN,NaN
-2.9847,72.926,NaN,NaN,NaN
-2.9846,72.942,NaN,NaN,NaN
-2.9845,72.958,NaN,NaN,NaN
-2.9844,72.974,NaN,NaN,NaN
-2.9843,72.99,NaN,NaN,NaN
-2.9842,73.005,NaN,NaN,NaN
-2.9841,73.021,NaN,NaN,NaN
-2.984,73.037,NaN,NaN,NaN
-2.9839,73.053,NaN,NaN,NaN
-2.9838,73.069,NaN,NaN,NaN
-2.9837,73.085,NaN,NaN,NaN
-2.9836,73.101,NaN,NaN,NaN
-2.9835,73.117,NaN,NaN,NaN
-2.9834,73.132,NaN,NaN,NaN
-2.9833,73.148,NaN,NaN,NaN
-2.9832,73.164,NaN,NaN,NaN
-2.9831,73.18,NaN,NaN,NaN
-2.983,73.196,NaN,NaN,NaN
-2.9829,73.212,NaN,NaN,NaN
-2.9828,73.228,NaN,NaN,NaN
-2.9827,73.244,NaN,NaN,NaN
-2.9826,73.26,NaN,NaN,NaN
-2.9825,73.275,NaN,NaN,NaN
-2.9824,73.291,NaN,NaN,NaN
-2.9823,73.307,NaN,NaN,NaN
-2.9822,73.323,NaN,NaN,NaN
-2.9821,73.339,NaN,NaN,NaN
-2.982,73.355,NaN,NaN,NaN
-2.9819,73.371,NaN,NaN,NaN
-2.9818,73.387,NaN,NaN,NaN
-2.9817,73.403,NaN,NaN,NaN
-2.9816,73.418,NaN,NaN,NaN
-2.9815,73.434,NaN,NaN,NaN
-2.9814,73.45,NaN,NaN,NaN
-2.9813,73.466,NaN,NaN,NaN
-2.9812,73.482,NaN,NaN,NaN
-2.9811,73.498,NaN,NaN,NaN
-2.981,73.514,NaN,NaN,NaN
-2.9809,73.53,NaN,NaN,NaN
-2.9808,73.545,NaN,NaN,NaN
-2.9807,73.561,NaN,NaN,NaN
-2.9806,73.577,NaN,NaN,NaN
-2.9805,73.593,NaN,NaN,NaN
-2.9804,73.609,NaN,NaN,NaN
-2.9803,73.625,NaN,NaN,NaN
-2.9802,73.641,NaN,NaN,NaN
-2.9801,73.657,NaN,NaN,NaN
-2.98,73.673,NaN,NaN,NaN
-2.9799,73.688,NaN,NaN,NaN
-2.9798,73.704,NaN,NaN,NaN
-2.9797,73.72,NaN,NaN,NaN
-2.9796,73.736,NaN,NaN,NaN
-2.9795,73.752,NaN,NaN,NaN
-2.9794,73.768,NaN,NaN,NaN
-2.9793,73.784,NaN,NaN,NaN
-2.9792,73.8,NaN,NaN,NaN
-2.9791,73.816,NaN,NaN,NaN
-2.979,73.831,NaN,NaN,NaN
-2.9789,73.847,NaN,NaN,NaN
-2.9788,73.863,NaN,NaN,NaN
-2.9787,73.879,NaN,NaN,NaN
-2.9786,73.895,NaN,NaN,NaN
-2.9785,73.911,NaN,NaN,NaN
-2.9784,73.927,NaN,NaN,NaN
-2.9783,73.943,NaN,NaN,NaN
-2.9782,73.959,NaN,NaN,NaN
-2.9781,73.974,NaN,NaN,NaN
-2.978,73.99,NaN,NaN,NaN
-2.9779,74.006,NaN,NaN,NaN
-2.9778,74.022,NaN,NaN,NaN
-2.9777,74.038,NaN,NaN,NaN
-2.9776,74.054,NaN,NaN,NaN
-2.9775,74.07,NaN,NaN,NaN
